SpeechID,Speech,Speaker,Location,Year
146,"A doctor should be making those decisions. That's how it should be run. That's what you're going to do. And if I'm elected, I'm going to restore Roe v. Wade.",Biden,Atlanta,2024
147,"So that means he can take the life of the baby in the ninth month and even after birth, because some states – Democrat-run – take it after birth.",Trump,Atlanta,2024
148,"Again, the governor – former governor of Virginia: put the baby down, then we decide what to do with it.",Trump,Atlanta,2024
149,"So he's in – he's willing to, as we say, rip the baby out of the womb in the ninth month and kill the baby. Nobody wants that to happen. Democrat –",Trump,Atlanta,2024
150,No.,Biden,Atlanta,2024
151,"– or Republican, nobody wants it to happen.",Trump,Atlanta,2024
152,You're lying. That is simply not true. That Roe v. Wade does not provide for that. That's not the circumstance.,Biden,Atlanta,2024
153,"Only when the woman's life is in danger, if she's going to die – that's the only circumstance in which that can happen. But we are not for late term abortion, period – period, period.",Biden,Atlanta,2024
154,"Under Roe v. Wade, you have late term abortion. You can do whatever you want, depending on the state. You can do whatever you want. We don't think that's a good thing.",Trump,Atlanta,2024
155,"We think it's a radical thing. We think the Democrats are the radicals, not the Republicans.",Trump,Atlanta,2024
156,"For 51 years, that was the law. Fifty-one years, Constitutional Scholarship said it was the right way to go.",Biden,Atlanta,2024
157,"Fifty-one years, and it was taken away because this guy put very conservative members on the Supreme Court. He takes credit for taking it away. What's he going to do?",Biden,Atlanta,2024
158,"What's he going to do, in fact, if – if the MAGA Republicans – he gets elected and the MAGA Republicans control of the Congress and they pass a universal",Biden,Atlanta,2024
159,"ban on abortion, period, across the board, at six weeks, or seven, or eight or ten weeks, something very, very conservative. Is he going to sign that bill? I'll veto it. He'll sign it.",Biden,Atlanta,2024
160,Thank you.,Moderator,Atlanta,2024
161,Let's turn now to the issue of immigration and border security.,Moderator,Atlanta,2024
162,"President Biden, a record number of migrants have illegally crossed the southern border on your watch, overwhelming border states and overburdening cities such as New York and Chicago, and in",Moderator,Atlanta,2024
163,"some cases causing real safety and security concerns. Given that, why should voters trust you to solve this crisis?",Moderator,Atlanta,2024
164,"Because we worked very hard to get a bipartisan agreement that not only changed all of that, but it made sure that we are in a situation where you had",Biden,Atlanta,2024
165,no circumstance where they could come across the border with the number of border police there are now. We significantly increased the number of asylum officers.,Biden,Atlanta,2024
166,"Significantly – by the way, the Border Patrol men endorsed me, endorsed my position.",Biden,Atlanta,2024
167,"In addition to that, we found ourselves in a situation where, when he was president, he was taking – separating babies from their mothers, putting them in cages, making sure the families were separated.",Biden,Atlanta,2024
168,"That's not the right way to go. What I've done – since I've changed the law, what's happened?",Biden,Atlanta,2024
169,I've changed it in a way that now you're in a situation where there are 40 percent fewer people coming across the border illegally. That's better than when he left office.,Biden,Atlanta,2024
170,And I'm going to continue to move until we get the total ban on the – the total initiative relative to what we're going to do with more Border Patrol and more asylum officers.,Biden,Atlanta,2024
171,President Trump?,Moderator,Atlanta,2024
172,"I really don't know what he said at the end of that sentence. I don't think he knows what he said either. Look, we had the safest border in the history of our country.",Trump,Atlanta,2024
173,The border – all he had to do was leave it. All he had to do was leave it.,Trump,Atlanta,2024
174,"He decided to open up our border, open up our country to people that are from prisons, people that are from mental institutions, insane asylum, terrorists.",Trump,Atlanta,2024
175,"We have the largest number of terrorists coming into our country right now. All terrorists all over the world, not just in South America, all over the world.",Trump,Atlanta,2024
176,"They come from the Middle East, everywhere, all over the world. They're pouring in. And this guy just left it open. And he didn't need legislation.",Trump,Atlanta,2024
177,"Because I didn't have legislation, I said close the border. We had the safest border in history.",Trump,Atlanta,2024
178,"In that final couple of months of my presidency, we had, according to Border Patrol, who is great – and, by the way, who endorsed me for president. But I won't say that.",Trump,Atlanta,2024
179,"But they endorsed me for president. Brandon, just speak to him. But look, we had the safest border in history. Now we have the worst border in history. There's never been anything like it.",Trump,Atlanta,2024
180,"And people are dying all over the place, including the people that are coming up in caravans.",Trump,Atlanta,2024
181,"Thank you, President Trump. President Biden?",Moderator,Atlanta,2024
182,"The only terrorist who has done anything crossing the border is one who came along and killed three under his administration, killed – an al-Qaida person in his administration, killed",Biden,Atlanta,2024
183,three American soldiers – killed three American soldiers. That's the only terrorist that's there. I'm not saying no terrorist ever got through.,Biden,Atlanta,2024
184,"But the idea they're emptying their prisons, we're welcoming these people, that's simply not true. There's no data to support what he said. Once again, he's exaggerating. He's lying.",Biden,Atlanta,2024
185,"President Trump, staying on the topic of immigration, you've said that you're going to carry out, quote, ""the largest domestic deportation operation in American history,"" unquote.",Moderator,Atlanta,2024
186,"Does that mean that you will deport every undocumented immigrant in America, including those who have jobs, including those whose spouses are citizens, and including those who have lived here for decades?",Moderator,Atlanta,2024
187,"And if so, how will you do it?",Moderator,Atlanta,2024
188,Just one second. He said we killed three people.,Trump,Atlanta,2024
189,"The people we killed are al-Baghdadi and Soleimani, the two greatest terrorists – biggest terrorists anywhere in the world, and it had a huge impact on everything, not just border, on everything.",Trump,Atlanta,2024
190,"He's the one that killed people with the bad water, including hundreds of thousands of people dying and also killing our citizens when they come in.",Trump,Atlanta,2024
191,"We – we are living right now in a rat's nest. They're killing our people in New York, in California, in every state in the union because we don't have borders anymore.",Trump,Atlanta,2024
192,"Every state is now a border. And because of his ridiculous, insane and very stupid policies, people are coming in and they're killing our citizens at a level that we've never seen.",Trump,Atlanta,2024
193,We call it migrant crime. I call it Biden migrant crime. They're killing our citizens at a level that we've never seen before.,Trump,Atlanta,2024
194,"And you're reading it, like these three incredible young girls over the last few days.",Trump,Atlanta,2024
195,"One of them, I just spoke to the mother, and they just had the funeral for this girl, 12 years old. This is horrible, what's taken place.",Trump,Atlanta,2024
196,"What's taken place in our country – we're literally an uncivilized country now. He doesn't want it to be. He just doesn't know. He opened the borders, nobody's ever seen anything like.",Trump,Atlanta,2024
197,"And we have to get a lot of these people out and we have to get them out fast, because they're going to destroy our country. Just take a look at where they're living.",Trump,Atlanta,2024
198,"They're living in luxury hotels in New York City and other places. Our veterans are on the street. They're dying, because he doesn't care about our veterans. He doesn't care.",Trump,Atlanta,2024
199,"He doesn't like the military, at all. And he doesn't care about our veterans. Nobody had been worse. I had the highest approval rating for veterans, taking care of the V.A. He has the worst.",Trump,Atlanta,2024
200,"He's gotten rid of all the things that I approved – Choice, that I got through Congress. All of the different things I approved, they abandoned.",Trump,Atlanta,2024
201,"We had, by far, the highest, and now it's down in less than half because he's done – all these great things that we did – and I think he",Trump,Atlanta,2024
202,"did it just because I approved it, which is crazy. But he has killed so many people at our border by allowing –",Trump,Atlanta,2024
203,"Thank you, President Trump.",Moderator,Atlanta,2024
204,– all of these people to come in.,Trump,Atlanta,2024
205,President Biden –,Moderator,Atlanta,2024
206,And it's a very sad day in America.,Trump,Atlanta,2024
207,"President Biden, you have the mic.",Moderator,Atlanta,2024
208,"Every single thing he said is a lie, every single one. For example, veterans are a hell of a lot better off since I passed the PACT Act.",Biden,Atlanta,2024
