SpeechID,Speech,Speaker,Location,Year
96,"The kinds of cases that fall at the end of pregnancy are often the most heartbreaking, painful decisions for families to make.",Clinton,Nevada,2016
97,"I have met with women who toward the end of their pregnancy get the worst news one could get, that their health is in jeopardy if they continue to carry",Clinton,Nevada,2016
98,to term or that something terrible has happened or just been discovered about the pregnancy. I do not think the United States government should be stepping in and making those most personal of decisions.,Clinton,Nevada,2016
99,So you can regulate if you are doing so with the life and the health of the mother taken into account.,Clinton,Nevada,2016
100,"Mr. Trump, your reaction? And particularly on this issue of late-term, partial-birth abortions.",Moderator,Nevada,2016
101,"Well, I think it's terrible.",Trump,Nevada,2016
102,"If you go with what Hillary is saying, in the ninth month, you can take the baby and rip the baby out of the womb of the mother just prior",Trump,Nevada,2016
103,"to the birth of the baby. Now, you can say that that's OK and Hillary can say that that's OK.",Trump,Nevada,2016
104,"But it's not OK with me, because based on what she's saying, and based on where she's going, and where she's been, you can take the baby and rip the",Trump,Nevada,2016
105,baby out of the womb in the ninth month on the final day. And that's not acceptable.,Trump,Nevada,2016
106,"Well, that is not what happens in these cases. And using that kind of scare rhetoric is just terribly unfortunate.",Clinton,Nevada,2016
107,"You should meet with some of the women that I have met with, women I have known over the course of my life.",Clinton,Nevada,2016
108,This is one of the worst possible choices that any woman and her family has to make. And I do not believe the government should be making it.,Clinton,Nevada,2016
109,"You know, I've had the great honor of traveling across the world on behalf of our country.",Clinton,Nevada,2016
110,"I've been to countries where governments either forced women to have abortions, like they used to do in China, or forced women to bear children, like they used to do in Romania.",Clinton,Nevada,2016
111,"And I can tell you: The government has no business in the decisions that women make with their families in accordance with their faith, with medical advice. And I will stand up for that right.",Clinton,Nevada,2016
112,"All right. But just briefly, I want to move on to another segment...",Moderator,Nevada,2016
113,"And, honestly, nobody has business doing what I just said, doing that, as late as one or two or three or four days prior to birth. Nobody has that.",Trump,Nevada,2016
114,All right. Let's move on to the subject of immigration. And there is almost no issue that separates the two of you more than the issue of immigration.,Moderator,Nevada,2016
115,"Actually, there are a lot of issues that separate the two of you. Mr. Trump, you want to build a wall.",Moderator,Nevada,2016
116,"Secretary Clinton, you have offered no specific plan for how you want to secure our southern border. Mr. Trump, you are calling for major deportations.",Moderator,Nevada,2016
117,"Secretary Clinton, you say that within your first 100 days as president you're going to offer a package that includes a pathway to citizenship.",Moderator,Nevada,2016
118,"The question, really, is, why are you right and your opponent wrong? Mr. Trump, you go first in this segment. You have two minutes.",Moderator,Nevada,2016
119,"Well, first of all, she wants to give amnesty, which is a disaster and very unfair to all of the people that are waiting on line for many, many years. We need strong borders.",Trump,Nevada,2016
120,"In the audience tonight, we have four mothers of—I mean, these are unbelievable people that I've gotten to know over a period of years whose children have been killed, brutally",Trump,Nevada,2016
121,killed by people that came into the country illegally. You have thousands of mothers and fathers and relatives all over the country. They're coming in illegally. Drugs are pouring in through the border.,Trump,Nevada,2016
122,"We have no country if we have no border. Hillary wants to give amnesty. She wants to have open borders. The border—as you know, the Border Patrol agents, 16,500-plus ICE last week, endorsed me.",Trump,Nevada,2016
123,First time they've ever endorsed a candidate. It means their job is tougher. But they know what's going on. They know it better than anybody. They want strong borders.,Trump,Nevada,2016
124,They feel we have to have strong borders. I was up in New Hampshire the other day.,Trump,Nevada,2016
125,"The biggest complaint they have—it's with all of the problems going on in the world, many of the problems caused by Hillary Clinton and by Barack Obama.",Trump,Nevada,2016
126,All of the problems—the single biggest problem is heroin that pours across our southern border. It's just pouring and destroying their youth. It's poisoning the blood of their youth and plenty of other people.,Trump,Nevada,2016
127,"We have to have strong borders. We have to keep the drugs out of our country. We are—right now, we're getting the drugs, they're getting the cash. We need strong borders.",Trump,Nevada,2016
128,"We need absolute—we cannot give amnesty. Now, I want to build the wall. We need the wall. And the Border Patrol, ICE, they all want the wall. We stop the drugs.",Trump,Nevada,2016
129,We shore up the border.,Trump,Nevada,2016
130,"One of my first acts will be to get all of the drug lords, all of the bad ones—we have some bad, bad people in this country that have to go out.",Trump,Nevada,2016
131,"We're going to get them out; we're going to secure the border. And once the border is secured, at a later date, we'll make a determination as to the rest.",Trump,Nevada,2016
132,"But we have some bad hombres here, and we're going to get them out.",Trump,Nevada,2016
133,"Mr. Trump, thank you. Same question to you, Secretary Clinton. Basically, why are you right and Mr. Trump is wrong?",Moderator,Nevada,2016
134,"Well, as he was talking, I was thinking about a young girl I met here in Las Vegas, Carla, who is very worried that her parents might be deported, because",Clinton,Nevada,2016
135,"she was born in this country but they were not. They work hard, they do everything they can to give her a good life. And you're right. I don't want to rip families apart.",Clinton,Nevada,2016
136,I don't want to be sending parents away from children. I don't want to see the deportation force that Donald has talked about in action in our country. We have 11 million undocumented people.,Clinton,Nevada,2016
137,"They have 4 million American citizen children, 15 million people. He said as recently as a few weeks ago in Phoenix that every undocumented person would be subject to deportation. Now, here's what that means.",Clinton,Nevada,2016
138,"It means you would have to have a massive law enforcement presence, where law enforcement officers would be going school to school, home to home, business to business, rounding up people who are undocumented.",Clinton,Nevada,2016
139,"And we would then have to put them on trains, on buses to get them out of our country.",Clinton,Nevada,2016
140,I think that is an idea that is not in keeping with who we are as a nation. I think it's an idea that would rip our country apart.,Clinton,Nevada,2016
141,I have been for border security for years. I voted for border security in the United States Senate. And my comprehensive immigration reform plan of course includes border security.,Clinton,Nevada,2016
142,"But I want to put our resources where I think they're most needed: Getting rid of any violent person. Anybody who should be deported, we should deport them.",Clinton,Nevada,2016
143,"When it comes to the wall that Donald talks about building, he went to Mexico, he had a meeting with the Mexican president. Didn't even raise it.",Clinton,Nevada,2016
144,He choked and then got into a Twitter war because the Mexican president said we're not paying for that wall.,Clinton,Nevada,2016
145,So I think we are both a nation of immigrants and we are a nation of laws and that we can act accordingly.,Clinton,Nevada,2016
146,And that's why I'm introducing comprehensive immigration reform within the first 100 days with the path to citizenship.,Clinton,Nevada,2016
147,"Thank you, Secretary Clinton. I want to follow up...",Moderator,Nevada,2016
148,"Chris, I think it's...",Trump,Nevada,2016
149,OK.,Moderator,Nevada,2016
150,"I think I should respond to that. First of all, I had a very good meeting with the president of Mexico. Very nice man.",Trump,Nevada,2016
151,"We will be doing very much better with Mexico on trade deals. Believe me. The NAFTA deal signed by her husband is one of the worst deals ever made of any kind, signed by anybody.",Trump,Nevada,2016
152,"It's a disaster. Hillary Clinton wanted the wall. Hillary Clinton fought for the wall in 2006 or thereabouts. Now, she never gets anything done, so naturally the wall wasn't built.",Trump,Nevada,2016
153,But Hillary Clinton wanted the wall.,Trump,Nevada,2016
154,"Well, let me—wait, wait, sir, let me...",Moderator,Nevada,2016
155,We are a country of laws. We either have—and by the way...,Trump,Nevada,2016
156,"Now, wait. I'd like to hear from...",Moderator,Nevada,2016
157,"Well—well, but she said one thing.",Trump,Nevada,2016
158,I'd like to hear—I'd like to hear from Secretary Clinton.,Moderator,Nevada,2016
159,"I voted for border security, and there are...",Clinton,Nevada,2016
160,And the wall.,Trump,Nevada,2016
161,There are some limited places where that was appropriate. There also is necessarily going to be new technology and how best to deploy that.,Clinton,Nevada,2016
162,"But it is clear, when you look at what Donald has been proposing, he started his campaign bashing immigrants, calling Mexican immigrants rapists and criminals and drug dealers, that he",Clinton,Nevada,2016
163,has a very different view about what we should do to deal with immigrants.,Clinton,Nevada,2016
164,"Now, what I am also arguing is that bringing undocumented immigrants out from the shadows, putting them into the formal economy will be good, because then employers can't exploit them and undercut Americans' wages.",Clinton,Nevada,2016
165,And Donald knows a lot about this. He used undocumented labor to build the Trump Tower.,Clinton,Nevada,2016
